x_position	y_position	z_position
43.5181	-13.4672	36.2891
38.2482	52.6906	-38.7037
-21.1347	34.3044	-28.3982
6.90719	-2.89783	16.5401
-17.3081	1.68857	57.8445
53.2965	17.4002	27.7678
-45.8617	13.691	-61.8702
-32.8818	-46.4755	38.899
-43.9453	-12.7276	-47.4331
-50.0903	63.8399	-36.0078
1.70764	43.422	14.461
-26.0672	17.6062	3.08763
-0.834903	60.5355	-26.5439
34.7029	3.37871	34.4943
-12.8209	50.1346	-27.7532
-18.9124	39.3672	53.5831
-55.0806	57.5695	3.3381
-53.0149	-39.3763	20.9266
49.9482	-19.3856	-55.737
-61.421	-5.41191	-55.9611
-33.4928	60.2317	51.5249
44.9042	-29.8995	5.06705
-15.9441	33.3296	1.66659
21.4479	4.09651	-59.0187
-7.99381	55.2116	55.1799
28.317	-27.6369	30.4831
17.9641	-18.6535	23.9886
-42.7618	-7.60436	48.6762
42.1007	-21.7202	-34.6453
50.2997	-19.2052	23.8788
58.4026	11.366	20.1745
45.8634	-7.79374	54.211
-13.0055	40.3261	23.6046
52.5971	-2.28995	-36.3629
57.6424	53.7802	-45.0874
48.7583	18.0333	-8.6602
15.3054	-28.0667	36.6223
-24.6421	-6.76448	-35.046
-40.0299	-28.5997	7.16977
-10.7392	-42.2361	52.0286
-50.7964	-47.8975	-0.541334
33.3141	62.0299	55.7289
23.589	-14.9116	31.991
-16.8704	-26.3785	-34.2349
10.8307	-32.6722	-44.5187
29.6793	-47.9779	37.5786
-43.0449	31.3915	-54.4241
57.6414	-57.3146	2.74746
-41.4686	-33.2805	38.0837
29.7651	20.0443	59.7837
17.8578	33.1839	-52.0498
-46.7476	2.56198	-53.9559
-55.0826	-37.785	-4.93148
40.9724	9.40859	32.754
-57.3265	-43.8248	-63.9821
-37.9092	49.9185	-47.896
63.7334	-57.0624	47.4315
-54.7546	-63.485	54.1809
12.0568	-40.8896	-43.1636
-13.9234	52.8116	40.9448
-18.0758	6.73331	10.1927
-6.06161	23.9217	-51.3093
3.91849	32.9031	-25.0303
63.051	9.81149	48.3143
31.741	16.549	-59.4465
31.6949	42.7038	54.408
47.7348	42.3732	61.4097
31.2303	51.6826	61.8607
21.3472	-0.324533	-42.9649
42.2476	49.816	-54.0893
19.1283	-32.1957	16.58
-34.615	25.6786	-23.4343
-21.8603	-34.3389	-54.4672
17.0453	-35.3519	19.4083
1.42359	60.3251	-28.1067
5.91309	28.084	-49.4669
-3.61487	11.8829	56.8424
-6.26919	-20.9508	44.461
-8.34447	-63.5396	-19.7996
12.6267	42.6439	-34.0475
22.4733	-2.16373	-2.30728
-25.0107	27.1573	-40.6926
15.619	-58.767	-10.9675
25.0878	22.2143	17.6166
-19.5678	-40.4261	14.0058
16.2614	29.551	-21.9742
30.7306	-38.1279	53.8447
23.6369	19.5389	-31.0422
4.16188	-52.7416	-30.6458
48.2983	23.8211	-51.9379
-49.8132	-17.7696	9.8344
11.9435	21.2837	-27.0723
35.3149	-27.0332	-21.7754
-39.7166	61.9906	-63.4971
41.964	-21.5132	-39.8592
-8.0942	58.6842	53.6278
33.8676	25.4788	-48.4361
23.7762	-14.8203	35.1668
56.6701	53.2776	46.3613
-37.9117	37.6399	6.11835
43.4921	-13.4153	36.3416
38.2961	52.6904	-38.6939
-21.1778	34.2755	-28.3515
6.90621	-2.90248	16.5848
-17.3086	1.66183	57.8036
53.3201	17.4293	27.7216
-45.8485	13.6901	-61.827
-32.8531	-46.5167	38.8634
-43.9455	-12.7761	-47.4794
-50.1082	63.8175	-35.9526
1.75993	43.4376	14.5041
-26.0265	17.6057	3.06651
-0.848431	60.5559	-26.53
34.6721	3.33406	34.4395
-12.8711	50.1535	-27.7706
-18.9395	39.3456	53.5307
-55.0899	57.6251	3.3488
-53.0449	-39.356	20.9601
49.9466	-19.4294	-55.688
-61.4049	-5.40964	-55.9985
-33.4854	60.2223	51.5671
44.8907	-29.9322	5.04478
-15.9148	33.3473	1.72865
21.4272	4.1474	-59.0653
-8.00523	55.1483	55.2162
28.3521	-27.6633	30.4338
18.0109	-18.6252	23.9308
-42.7683	-7.54209	48.7029
42.0637	-21.7235	-34.5986
50.2477	-19.2564	23.8638
58.3772	11.3862	20.214
45.8163	-7.85115	54.1538
-13.0109	40.3621	23.6291
52.5897	-2.33869	-36.3515
57.6524	53.7841	-45.0752
48.7406	18.0082	-8.61045
15.3024	-28.1089	36.6364
-24.6388	-6.74926	-35.0337
-40.0639	-28.5575	7.11474
-10.7905	-42.1818	51.9863
-50.7988	-47.9326	-0.499509
33.2873	62.0117	55.7774
23.5691	-14.8713	32.0114
-16.9298	-26.4096	-34.1993
10.8468	-32.6291	-44.5432
29.6436	-48.0165	37.593
-43.0949	31.4138	-54.3879
57.6695	-57.353	2.73482
-41.4922	-33.2889	38.0493
29.7505	20.0486	59.7395
17.8649	33.1218	-52.0652
-46.7627	2.53708	-53.9255
-55.1133	-37.7658	-4.92479
41.0261	9.43239	32.7937
-57.3012	-43.8488	-63.9635
-37.9724	49.9228	-47.852
63.7486	-57.0441	47.4338
-54.7673	-63.5026	54.2089
12.0955	-40.8668	-43.208
-13.9832	52.7557	40.9685
-18.1158	6.74854	10.2183
-6.05293	23.8579	-51.3726
3.89356	32.8726	-25.0104
63.0968	9.77068	48.2939
31.7624	16.5975	-59.4269
31.671	42.7531	54.3679
47.691	42.3737	61.4518
31.2528	51.7344	61.8212
21.3337	-0.298153	-42.9177
42.2536	49.8466	-54.034
19.0942	-32.1411	16.5866
-34.5595	25.6779	-23.4275
-21.8041	-34.3005	-54.427
17.0574	-35.3317	19.4717
1.47937	60.3027	-28.0588
5.92451	28.1016	-49.4337
-3.57961	11.9206	56.812
-6.25582	-20.9546	44.4184
-8.30665	-63.4929	-19.7518
12.6477	42.6327	-34.0332
22.4857	-2.14508	-2.30234
-25.0557	27.1674	-40.7524
15.6448	-58.7647	-10.9249
25.0898	22.1647	17.6153
-19.5665	-40.4839	14.046
16.2467	29.5686	-21.9803
30.685	-38.139	53.8123
23.625	19.4772	-31.0143
4.17131	-52.7015	-30.6352
